,propertyType,listingId,Bedrooms,Bathrooms,Garage,Land_size,Price,Address,Suburb,Post_code,agency_name,agency_email,Status,Next_Inspection_Date,Next_Inspection_Time,auctionTime_dateDisplay,auctionTime_startTimeDisplay,auctionTime_startTime,auctionTime_auction,statementOfInformation_href,statementOfInformation_title,statementOfInformation_statementSummary,Price_Num
0,house,142006916,4,2,6,702.0,"$1,199,000.00",6 Hornet Rise,Willetton,6155,The Agency - PERTH,hellowa@theagency.com.au,new_listing,,,,,,,,,,1199000.0
1,house,139853155,3,1,2,693.0,From $899K,37 The Quarterdeck,Willetton,6155,Honsun Realty - WELSHPOOL,phoy@honsunrealty.com,,,,,,,,,,,899000.0
2,house,141529428,3,1,5,838.0,"$890,000",102 Acanthus Road,Willetton,6155,The Agency - PERTH,hellowa@theagency.com.au,,,,,,,,,,,890000.0
3,house,139831155,4,3,2,952.0,Any Offer Present,32 Chaparral Crescent,Willetton,6155,Honsun Realty - WELSHPOOL,phoy@honsunrealty.com,,,,,,,,,,,
4,house,141052984,5,3,2,0.0,CONTACT AGENT,24 Lachlan Road,Willetton,6155,IdealRealtywa - WILLETTON,liliangroy1981@gmail.com,,,,,,,,,,,
5,house,141269480,5,3,2,687.0,FROM $1.195 MILLION,101 Apsley Road,Willetton,6155,MINIC Property Group - WILSON,info@minic.com.au,,,,,,,,,,,1195000.0
6,house,141751964,3,1,3,495.0,"Fr $700,000",1/20 Stevenson Way,Willetton,6155,MACK HALL REAL ESTATE - APPLECROSS,applecross@mackhall.com.au,,,,,,,,,,,700000.0
7,residential land,203596740,0,0,0,350.0,All Offers Considered,4B Mendip Mews,Willetton,6155,Semple Property Group - SOUTH LAKE,kirstin@semplepg.com.au,,,,,,,,,,,
8,house,141950588,3,2,2,0.0,Expressions of Interest,2 Witton Court,Willetton,6155,LJ Hooker Southern Residential WA -   ,cockburncity@ljhsouth.com.au,,,,,,,,,,,
9,residential land,203395651,0,0,0,350.0,"Mid to High $400,000 Now",18A Iandra Loop,Willetton,6155,IdealRealtywa - WILLETTON,liliangroy1981@gmail.com,,,,,,,,,,,400000.0
10,unit,141114548,2,1,1,82.0,"FROM $449,000",5/8 Falcon Court,Willetton,6155,MINIC Property Group - WILSON,info@minic.com.au,,,,,,,,,,,449000.0
